,BPS_ID,EVT_ID,freq,acres,GROUPVEG,bps_acres,EVT_PHYS,evt_acres
1,11,7292,24359,5417,Open Water,5417,Open Water,5417
2,12,7735,1665,370,Perennial Ice/Snow,370,Snow-Ice,370
3,31,9006,14358,3193,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,31285
4,31,9008,469881,104499,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,232843
5,31,9010,53076,11804,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,68377
6,31,9016,72159,16048,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,21928
7,31,9018,13925,3097,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,9383
8,31,9146,39,9,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,20
9,31,9147,4190,932,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,2456
10,31,9150,2862,636,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,1907
11,31,9151,1574,350,Barren-Rock/Sand/Clay,140568,Sparsely Vegetated,524
12,385,7019,1781,396,Sparse,34908,Conifer,3183469
13,385,7051,1,0,Sparse,34908,Conifer,87631
14,385,7080,3199,711,Sparse,34908,Shrubland,2806292
15,385,7081,6,1,Sparse,34908,Shrubland,642721
16,385,7082,66612,14814,Sparse,34908,Shrubland,1384253
17,385,7086,13,3,Sparse,34908,Shrubland,25217
18,385,7087,7134,1587,Sparse,34908,Shrubland,257645
19,385,7088,558,124,Sparse,34908,Shrubland,16162
20,385,7107,9,2,Sparse,34908,Shrubland,6155
21,385,7108,1300,289,Sparse,34908,Shrubland,13160
22,385,7127,73,16,Sparse,34908,Shrubland,576469
23,385,7135,115,26,Sparse,34908,Grassland,12446
24,385,7299,3,1,Sparse,34908,Developed-Roads,36432
25,385,7914,2,0,Sparse,34908,Developed,1120
26,385,7933,2,0,Sparse,34908,Developed,21
27,385,7985,2,0,Sparse,34908,Agricultural,70
28,385,7987,21,5,Sparse,34908,Agricultural,309
29,385,7988,2,0,Sparse,34908,Agricultural,1
30,385,9006,21700,4826,Sparse,34908,Sparsely Vegetated,31285
31,385,9008,12868,2862,Sparse,34908,Sparsely Vegetated,232843
32,385,9010,35847,7972,Sparse,34908,Sparsely Vegetated,68377
33,385,9147,1961,436,Sparse,34908,Sparsely Vegetated,2456
34,385,9150,3,1,Sparse,34908,Sparsely Vegetated,1907
35,385,9308,1609,358,Sparse,34908,Exotic Herbaceous,41718
36,385,9310,444,99,Sparse,34908,Exotic Tree-Shrub,56155
37,385,9336,920,205,Sparse,34908,Exotic Tree-Shrub,234524
38,385,9810,777,173,Sparse,34908,Exotic Herbaceous,4555
39,488,7019,687,153,Sparse,111885,Conifer,3183469
40,488,7080,171,38,Sparse,111885,Shrubland,2806292
41,488,7081,7,2,Sparse,111885,Shrubland,642721
42,488,7082,168472,37467,Sparse,111885,Shrubland,1384253
43,488,7086,11,2,Sparse,111885,Shrubland,25217
44,488,7087,268344,59678,Sparse,111885,Shrubland,257645
45,488,7088,1299,289,Sparse,111885,Shrubland,16162
46,488,7107,23,5,Sparse,111885,Shrubland,6155
47,488,7108,202,45,Sparse,111885,Shrubland,13160
48,488,7135,4,1,Sparse,111885,Grassland,12446
49,488,7295,1,0,Sparse,111885,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,16517
50,488,7296,25,6,Sparse,111885,Developed-Low Intensity,2104
51,488,7297,16,4,Sparse,111885,Developed-Medium Intensity,1083
52,488,7298,6,1,Sparse,111885,Developed-High Intensity,249
53,488,7299,1227,273,Sparse,111885,Developed-Roads,36432
54,488,7910,103,23,Sparse,111885,Developed,48
55,488,7912,1,0,Sparse,111885,Developed,0
56,488,7913,118,26,Sparse,111885,Developed,87
57,488,7914,2061,458,Sparse,111885,Developed,1120
58,488,7933,7,2,Sparse,111885,Developed,21
59,488,7985,21,5,Sparse,111885,Agricultural,70
60,488,7986,8,2,Sparse,111885,Agricultural,60
61,488,7987,29,6,Sparse,111885,Agricultural,309
62,488,9006,1499,333,Sparse,111885,Sparsely Vegetated,31285
63,488,9008,6755,1502,Sparse,111885,Sparsely Vegetated,232843
64,488,9010,7789,1732,Sparse,111885,Sparsely Vegetated,68377
65,488,9146,30,7,Sparse,111885,Sparsely Vegetated,20
66,488,9147,675,150,Sparse,111885,Sparsely Vegetated,2456
67,488,9148,2,0,Sparse,111885,Riparian,26
68,488,9150,3789,843,Sparse,111885,Sparsely Vegetated,1907
69,488,9151,526,117,Sparse,111885,Sparsely Vegetated,524
70,488,9308,16,4,Sparse,111885,Exotic Herbaceous,41718
71,488,9310,35916,7988,Sparse,111885,Exotic Tree-Shrub,56155
72,488,9336,3187,709,Sparse,111885,Exotic Tree-Shrub,234524
73,488,9533,1,0,Sparse,111885,Riparian,46
74,488,9534,2,0,Sparse,111885,Riparian,120
75,488,9654,1,0,Sparse,111885,Riparian,62
76,488,9810,60,13,Sparse,111885,Exotic Herbaceous,4555
77,488,9827,1,0,Sparse,111885,Riparian,43334
78,491,7019,3,1,Conifer,75,Conifer,3183469
79,491,7080,29,6,Conifer,75,Shrubland,2806292
80,491,7082,250,56,Conifer,75,Shrubland,1384253
81,491,7087,22,5,Conifer,75,Shrubland,257645
82,491,7108,2,0,Conifer,75,Shrubland,13160
83,491,9310,2,0,Conifer,75,Exotic Tree-Shrub,56155
84,491,9336,27,6,Conifer,75,Exotic Tree-Shrub,234524
85,492,7019,29453,6550,Conifer,16602,Conifer,3183469
86,492,7054,176,39,Conifer,16602,Conifer,1034
87,492,7062,94,21,Conifer,16602,Conifer,222887
88,492,7079,509,113,Conifer,16602,Shrubland,1605760
89,492,7080,8891,1977,Conifer,16602,Shrubland,2806292
90,492,7081,56,12,Conifer,16602,Shrubland,642721
91,492,7082,27570,6131,Conifer,16602,Shrubland,1384253
92,492,7086,786,175,Conifer,16602,Shrubland,25217
93,492,7087,12,3,Conifer,16602,Shrubland,257645
94,492,7088,28,6,Conifer,16602,Shrubland,16162
95,492,7103,4,1,Conifer,16602,Shrubland,73580
96,492,7107,1851,412,Conifer,16602,Shrubland,6155
