EVT,Past,ACRES
Current Agricultural,Past Conifer,19886245
Current Agricultural,Past Grassland,5365634
Current Agricultural,Past Hardwood,6557141
Current Agricultural,Past Hardwood-Conifer,2690713
Current Agricultural,Past Riparian,12502987
Current Agricultural,Past Shrubland,53557373
Current Conifer,Past Conifer,437825654
Current Conifer,Past Grassland,43804414
Current Conifer,Past Hardwood,67433896
Current Conifer,Past Hardwood-Conifer,49942788
Current Conifer,Past Riparian,150843336
Current Conifer,Past Shrubland,691156443
Current Conifer-Hardwood,Past Conifer,3600668
Current Conifer-Hardwood,Past Grassland,423608
Current Conifer-Hardwood,Past Hardwood,635412
Current Conifer-Hardwood,Past Hardwood-Conifer,317706
Current Conifer-Hardwood,Past Riparian,1270824
Current Conifer-Hardwood,Past Shrubland,3812472
Developed,Past Conifer,24293187
Developed,Past Grassland,5439546
Developed,Past Hardwood,6026800
Developed,Past Hardwood-Conifer,2391461
Developed,Past Riparian,12235185
Developed,Past Shrubland,63458359
Exotics,Past Conifer,228595563
Exotics,Past Grassland,55645701
Exotics,Past Hardwood,54239961
Exotics,Past Hardwood-Conifer,21630552
Exotics,Past Riparian,115349925
Exotics,Past Shrubland,516644944
Current Grassland,Past Conifer,29166065
Current Grassland,Past Grassland,8567268
Current Grassland,Past Hardwood,6070039
Current Grassland,Past Hardwood-Conifer,3685422
Current Grassland,Past Riparian,14248581
Current Grassland,Past Shrubland,55385330
Current Hardwood,Past Conifer,3592994
Current Hardwood,Past Grassland,387408
Current Hardwood,Past Hardwood,680778
Current Hardwood,Past Hardwood-Conifer,388787
Current Hardwood,Past Riparian,1358146
Current Hardwood,Past Shrubland,4172964
Current Riparian,Past Conifer,8611075
Current Riparian,Past Grassland,2904680
Current Riparian,Past Hardwood,4239510
Current Riparian,Past Hardwood-Conifer,279158
Current Riparian,Past Riparian,12546605
Current Riparian,Past Shrubland,42400188
Current Shrubland,Past Conifer,1310249597
Current Shrubland,Past Grassland,305461636
Current Shrubland,Past Hardwood,236886129
Current Shrubland,Past Hardwood-Conifer,88141090
Current Shrubland,Past Riparian,618667825
Current Shrubland,Past Shrubland,2906888971
