"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1062,52383007,10810,12,"10810_6_12_13_17","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",1978,-9999,-9999,1978,100,-9999,-9999,"V-B",245,202,122,0.960784,0.792157,0.478431,11649700,16.9
"2",1060,34149307,10790,12,"10790_6_9_10_12_16_17_18","Great Basin Xeric Mixed Sagebrush Shrubland","Shrubland",94,831,-9999,84,90,10,-9999,"IV-A",57,194,207,0.223529,0.760784,0.811765,7594623,11
"3",2703,24874564,10804,12,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,-9999,-9999,120,100,-9999,-9999,"IV-B",255,190,232,1,0.745098,0.909804,5531970,8
"4",1090,17963480,10790,17,"10790_6_9_10_12_16_17_18","Great Basin Xeric Mixed Sagebrush Shrubland","Shrubland",94,831,-9999,84,90,10,-9999,"IV-A",57,194,207,0.223529,0.760784,0.811765,3994982,5.8
"5",503,15410576,10870,13,"10870_4_6_12_13_14_15_17_24_25","Sonora-Mojave Creosotebush-White Bursage Desert Scrub","Shrubland",329,-9999,-9999,329,100,-9999,-9999,"V-A",52,154,184,0.203922,0.603922,0.721569,3427230,5
"6",2702,15237338,10803,12,"10803_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Semi-Desert","Shrubland",151,-9999,-9999,151,100,-9999,-9999,"IV-B",255,190,232,1,0.745098,0.909804,3388702,4.9
"7",501,13470008,10820,13,"10820_4_13","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",399,-9999,-9999,399,100,-9999,-9999,"V-A",216,6,73,0.847059,0.023529,0.286275,2995658,4.4
"8",1050,13653686,10190,12,"10190_6_7_9_12_16_17_18_19","Great Basin Pinyon-Juniper Woodland","Conifer",865,898,-9999,440,51,49,-9999,"V-A",115,76,0,0.45098,0.298039,0,3036507,4.4
"9",1073,11751536,11530,12,"11530_6_10_12_13_17_18_19_21","Inter-Mountain Basins Greasewood Flat","Shrubland",1024,-9999,-9999,1024,100,-9999,-9999,"V-B",225,225,225,0.882353,0.882353,0.882353,2613479,3.8
"10",31,10487710,31,0,"0","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902,2332411,3.4
"11",1069,7362716,11260,12,"11260_6_12_17_18_28","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",49,-9999,-9999,49,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745,1637429,2.4
"12",1238,6205118,11250,18,"11250_6_12_13_15_16_17_18_23_24_25_28","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",117,-9999,-9999,117,100,-9999,-9999,"IV-B",255,115,223,1,0.45098,0.87451,1379985,2
