"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_6_10_12_17_18_19",0.0320966,"Rocky Mountain Aspen Forest and Woodland",29,0.45098,343253,0.5,11017.2542398
"2","All Fire","10110_6_10_12_17_18_19",0.0320966,"Rocky Mountain Aspen Forest and Woodland",47,0.45098,110095,0.2,3533.675177
"3","All Fire","10110_6_10_12_17_18_19",0.0320966,"Rocky Mountain Aspen Forest and Woodland",97,0.45098,4770,0,153.100782
"4","All Fire","10110_6_10_12_17_18_19",0.0320966,"Rocky Mountain Aspen Forest and Woodland",164,0.45098,22900,0,735.01214
"5","All Fire","10110_9",0.036331,"Rocky Mountain Aspen Forest and Woodland",55,0.45098,98205,0.1,3567.885855
"6","All Fire","10120_17_18_21",0.0198082,"Rocky Mountain Bigtooth Maple Ravine Woodland",165,0.498039,1123,0,22.2446086
"7","All Fire","10160_13_14",0.0064858,"Colorado Plateau Pinyon-Juniper Woodland",76,0.4,75,0,0.486435
"8","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",180,0.4,552,0,4.4495616
"9","All Fire","10160_17",0.0078456,"Colorado Plateau Pinyon-Juniper Woodland",166,0.4,230,0,1.804488
"10","All Fire","10170_6_7_8_9_12_18",0.0058918,"Columbia Plateau Western Juniper Woodland and Savanna",98,0.384314,353,0,2.0798054
"11","All Fire","10170_6_7_8_9_12_18",0.0058918,"Columbia Plateau Western Juniper Woodland and Savanna",127,0.384314,492,0,2.8987656
"12","All Fire","10170_6_7_8_9_12_18",0.0058918,"Columbia Plateau Western Juniper Woodland and Savanna",154,0.384314,68,0,0.4006424
"13","All Fire","10170_6_7_8_9_12_18",0.0058918,"Columbia Plateau Western Juniper Woodland and Savanna",202,0.384314,1039,0,6.1215802
"14","All Fire","10190_13_14",0.00641,"Great Basin Pinyon-Juniper Woodland",32,0,265331,0.4,1700.77171
"15","All Fire","10190_15",0.0063906,"Great Basin Pinyon-Juniper Woodland",181,0,13190,0,84.292014
"16","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",8,0,3036507,4.4,6799.9537758
"17","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",17,0,901479,1.3,2018.7720726
"18","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",52,0,81541,0.1,182.6029154
"19","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",128,0,71,0,0.1589974
"20","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",203,0,7458,0,16.7014452
"21","All Fire","10200_13",0.0028648,"Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland",77,0.223529,12822,0,36.7324656
"22","All Fire","10200_6_9_12_17",0.0070734,"Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland",57,0.223529,75366,0.1,533.0938644
"23","All Fire","10200_6_9_12_17",0.0070734,"Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland",129,0.223529,2067,0,14.6207178
"24","All Fire","10200_6_9_12_17",0.0070734,"Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland",167,0.223529,18137,0,128.2902558
"25","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",182,0.517647,199,0,8.5902728
"26","All Fire","10240_14_15_24",0.0423804,"Madrean Lower Montane Pine-Oak Forest and Woodland",183,0.117647,1,0,0.0423804
"27","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",184,0.121569,405,0,8.746623
"28","All Fire","10270_4_5_6",0.0912008,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",99,0.843137,929,0,84.7255432
"29","All Fire","10280_4_6_7_12",0.0589992,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",100,0.658824,3919,0,231.2178648
"30","All Fire","10290_2_3_4_5_6_7_12",0.1196798,"Mediterranean California Mixed Oak Woodland",101,0.392157,2773,0,331.8720854
"31","All Fire","10300_2_3_4_5_6_7",0.0991192,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",102,0.568627,3384,0,335.4193728
"32","All Fire","10310_2_3_4_5_6_12",0.1079236,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",40,0,218064,0.3,23534.2519104
"33","All Fire","10310_2_3_4_5_6_12",0.1079236,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",155,0,2242,0,241.9647112
"34","All Fire","10321_6",0.0290662,"Mediterranean California Red Fir Forest - Cascades",103,0.498039,11707,0,340.2780034
"35","All Fire","10322_6",0.0191024,"Mediterranean California Red Fir Forest - Southern Sierra",53,0.592157,48350,0.1,923.60104
"36","All Fire","10330_12",0.0158126,"Mediterranean California Subalpine Woodland",156,0.635294,9821,0,155.2955446
"37","All Fire","10330_3_6_7",0.003874,"Mediterranean California Subalpine Woodland",104,0.635294,3811,0,14.763814
"38","All Fire","10340_4_6_7",0.0147514,"Mediterranean California Mesic Serpentine Woodland and Chaparral",105,0.298039,118,0,1.7406652
"39","All Fire","10440_3_6_7",0.0030448,"Northern California Mesic Subalpine Woodland",106,0,603,0,1.8360144
"40","All Fire","10450_1_7_8_9",0.0459344,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",130,1,3927,0,180.3843888
"41","All Fire","10460_1_7_9",0.0160348,"Northern Rocky Mountain Subalpine Woodland and Parkland",131,0,904,0,14.4954592
"42","All Fire","10460_18",0.0246126,"Northern Rocky Mountain Subalpine Woodland and Parkland",68,0,35958,0.1,885.0198708
"43","All Fire","10470_8_9",0.0144566,"Northern Rocky Mountain Mesic Montane Mixed Conifer Forest",132,0.898039,10,0,0.144566
"44","All Fire","10500_18",0.0082098,"Rocky Mountain Lodgepole Pine Forest",204,0.101961,0,0,0
"45","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",168,1,49,0,4.5811962
"46","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",185,1,0,0,0
"47","All Fire","10510_18_21",0.094729,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",205,1,227,0,21.503483
"48","All Fire","10520_12",0.0303322,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",58,0.901961,41001,0.1,1243.6505322
"49","All Fire","10520_13",0.025277,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",78,0.901961,23242,0,587.488034
"50","All Fire","10520_15",0.029845,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",186,0.901961,21,0,0.626745
"51","All Fire","10520_17",0.0298724,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",61,0.901961,69775,0.1,2084.34671
"52","All Fire","10520_18",0.0300564,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",206,0.901961,124,0,3.7269936
"53","All Fire","10531_1_7_8_9",0.0715806,"Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic",133,0,34,0,2.4337404
"54","All Fire","10532_7_9",0.0213668,"Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric",134,0,71,0,1.5170428
"55","All Fire","10540_13_14",0.066674,"Southern Rocky Mountain Ponderosa Pine Woodland",79,0,26198,0,1746.725452
"56","All Fire","10540_15_25",0.1084062,"Southern Rocky Mountain Ponderosa Pine Woodland",187,0,23,0,2.4933426
"57","All Fire","10540_17",0.0671124,"Southern Rocky Mountain Ponderosa Pine Woodland",169,0,6119,0,410.6607756
"58","All Fire","10550_1_8_9",0.0082904,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",135,0.745098,788,0,6.5328352
"59","All Fire","10550_17",0.0058586,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",170,0.745098,22182,0,129.9554652
"60","All Fire","10550_18",0.0070418,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",207,0.745098,25721,0,181.1221378
