"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,24359,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,5417,0
"2",12,1665,2047802,"Snow/Ice",245,245,245,0.960784314,0.960784314,0.960784314,370,0
"3",13,1800,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,400,0
"4",14,5019,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,1116,0
"5",15,106,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,24,0
"6",16,11484,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,2554,0
"7",17,87557,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,19472,0.2
"8",22,9462,101146235,"Developed-Low Intensity",153,153,153,0.6,0.6,0.6,2104,0
"9",23,4871,47439540,"Developed-Medium Intensity",102,102,102,0.4,0.4,0.4,1083,0
"10",24,1119,23025357,"Developed-High Intensity",51,51,51,0.2,0.2,0.2,249,0
"11",25,163819,278209151,"Developed-Roads",0,0,0,0,0,0,36432,0.3
"12",31,632064,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,140568,1.1
"13",32,74270,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,16517,0.1
"14",63,2432,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,541,0
"15",64,1925,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,428,0
"16",65,115148,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,25608,0.2
"17",68,3495,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,777,0
"18",100,1025905,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,228156,1.8
"19",110,3350,36085164,"Tree Cover = 10%",228,239,224,0.894117647,0.937254902,0.878431373,745,0
"20",111,5653,6528884,"Tree Cover = 11%",226,238,222,0.88627451,0.933333333,0.870588235,1257,0
"21",112,14541,7198220,"Tree Cover = 12%",225,237,220,0.882352941,0.929411765,0.862745098,3234,0
"22",113,35689,7904402,"Tree Cover = 13%",223,236,218,0.874509804,0.925490196,0.854901961,7937,0.1
"23",114,77954,8543638,"Tree Cover = 14%",221,235,216,0.866666667,0.921568627,0.847058824,17337,0.1
"24",115,259061,23500347,"Tree Cover = 15%",220,234,214,0.862745098,0.917647059,0.839215686,57614,0.4
"25",116,237770,10275647,"Tree Cover = 16%",218,233,212,0.854901961,0.91372549,0.831372549,52879,0.4
"26",117,334431,11312146,"Tree Cover = 17%",216,232,210,0.847058824,0.909803922,0.823529412,74376,0.6
"27",118,427827,12913967,"Tree Cover = 18%",215,231,208,0.843137255,0.905882353,0.815686275,95146,0.7
"28",119,514736,13387968,"Tree Cover = 19%",212,230,204,0.831372549,0.901960784,0.8,114475,0.9
